"word1","word2","n"
"shoppers","wearing",10
"squawk","pod",10
"squawkcnbc","listen",10
"stay","home",10
"steps","china",10
"stronger","video",10
"supply","stores",10
"swiftly","building",10
"today's","daily",10
"told","sky",10
"transport","hubs",10
"trapped","wuhan",10
"travel","agency",10
"travel","stocks",10
"treating","patients",10
"treatment","scheme",10
"u.s","confirmed",10
"u.s","coronavirus",10
"uk","france",10
"uk","politics",10
"urges","global",10
"vice","minister",10
"video","posted",10
"virus","spread",10
"virus","uk",10
"visiting","china",10
"ward","coronavirus",10
"watch","abc",10
"wearing","surgical",10
"week","diagnosed",10
"white","house",10
"win","battle",10
"writes","cnn's",10
"wuhan","british",10
"wuhan","reported",10
"wuhan","speaks",10
"wuhan's","red",10
"xhne.ws","qhfkc",10
"16","people",9
"2,744","confirmed",9
"30","provincial",9
"33","million",9
"3rd","death",9
"40","people",9
"6","p.m",9
"amid","warning",9
"announced","sunday",9
"asia","coronavirus",9
"authorities","announced",9
"babbage","podcast",9
"bin","deputy",9
"breaking","authorities",9
"british","teacher",9
"carriers","coming",9
"catecadell","reutersgraphics",9
"china","including",9
"china's","airports",9
"china's","biggest",9
"chinese","province",9
"chinese","woman",9
"clock","production",9
"commission","nhc",9
"communication","channels",9
"conference","wednesday",9
"confirmed","infected",9
"confirms","3rd",9
"confirms","5",9
"coronavirus","25",9
"coronavirus","advice",9
"coronavirus","experts",9
"decry","pathetic",9
"deliver","meals",9
"department","warns",9
"deputy","director",9
"dozen","countries",9
"enter","china's",9
"expects","1,000",9
"expert","pneumonia",9
"expert","zhong",9
"external","affairs",9
"french","health",9
"hangzhou","china",9
"hazmat","suits",9
"including","324",9
"including","professionals",9
"international","health",9
"japan's","government",9
"keeping","close",9
"killed","25",9
"kong's","chief",9
"local","authorities",9
"mariyamaguchi","writes",9
"materials","donated",9
"medics","including",9
"million","residents",9
"model","makeshift",9
"mysterious","outbreak",9
"ncov","including",9
"news","chinese",9
"officials","pti",9
"outbreak","disney",9
"outbreak","france",9
"outbreak","health",9
"outbreak","robots",9
"p.m","monday",9
"people","china",9
"pneumonia","believed",9
"potentially","deadly",9
"prevent","spread",9
"protective","materials",9
"province","due",9
"province","reported",9
"provincial","health",9
"quarantine","measures",9
"related","countries",9
"relevant","countries",9
"reported","139",9
"reported","323",9
"reported","coronavirus",9
"reports","1,291",9
"respiratory","virus",9
"response","level",9
"restricting","travel",9
"reut.rs","2gvdxwm",9
"reut.rs","2rl9394",9
"reut.rs","3astai0",9
"reviews","preparedness",9
"sweat","chinese",9
"test","negative",9
"toll","hits",9
"track","clearance",9
"wall","round",9
"warning","outbreak",9
"week’s","babbage",9
"world","asia",9
"world","live",9
"wuhan","decry",9
"wuhan","mariyamaguchi",9
"xhne.ws","803ni",9
"xhne.ws","cte3g",9
"xhne.ws","cxbf1",9
"xhne.ws","ecav0",9
"xhne.ws","eqtrv",9
"xhne.ws","st2vt",9
"xhne.ws","tudk8",9
"000","bed",8
"1","000",8
"1","4,515",8
"1,000","confirmed",8
"1,287","coronavirus",8
"1000","bed",8
"106","confirmed",8
"106","dead",8
"11","people",8
"17","die",8
"1st","highly",8
"2,000","infected",8
"20","airports",8
"200","british",8
"2003","sars",8
"28","1",8
"2nd","makeshift",8
"3","people",8
"30","million",8
"35","million",8
"3m","ceo",8
"41","dead",8
"440","people",8
"50","mln",8
"50","people",8
"56","dead",8
"80","government",8
"830","2168860",8
"accelerating","warns",8
"acute","respiratory",8
"afp","quoting",8
"airlines","suspends",8
"airport","authority",8
"animal","markets",8
"bans","wild",8
"basketball","legend",8
"bhubaneswar","airport",8
"boarding","schools",8
"boxing","qualifying",8
"british","boarding",8
"building","1",8
"building","1,000",8
"business","travel",8
"california","confirms",8
"canceled","due",8
"cancels","lunar",8
"ceo","mike",8
"chartered","restrict",8
"cheaper","iphone",8
"chesh","reports",8
"china","2167667",8
"china","cancels",8
"china","closely",8
"china","infection",8
"china","read",8
"china","red",8
"china","snakes",8
"china","sparking",8
"china","suggests",8
"china","takes",8
"china","travellers",8
"china","united",8
"china","update",8
"china","yananw",8
"china's","consumer",8
"china's","efforts",8
"china's","hebei",8
"china’s","deadly",8
"china’s","pneumonia",8
"china’s","president",8
"chinas","coronavirus",8
"chinavirus","update",8
"chinese","quarantine",8
"chinese","scientists",8
"citizens","trapped",8
"cnb.cx","2tg1nol",8
"cnb.cx","30zsoop",8
"cnb.cx","3arqpov",8
"cnbcfastmoney","wednesday",8
"cnn.it","2takacx",8
"companies","including",8
"confident","china",8
"confirms","1,287",8
"consumer","market",8
"contagious","chinese",8
"control","president",8
"corona","virus",8
"coronavirus","17",8
"coronavirus","2168984",8
"coronavirus","3",8
"coronavirus","50m",8
"coronavirus","accelerating",8
"coronavirus","beijing",8
"coronavirus","britons",8
"coronavirus","china’s",8
"coronavirus","claims",8
"coronavirus","constitutes",8
"coronavirus","deadly",8
"coronavirus","difficult",8
"coronavirus","epicentre",8
"coronavirus","infections",8
"coronavirus","infects",8
"coronavirus","monitoring",8
"coronavirus","nsw",8
"coronavirus","officials",8
"coronavirus","president",8
"coronavirus","region",8
"coronavirus","warnings",8
"country’s","ability",8
"crisscross","china",8
"dangerous","coronavirus",8
"deadly","outbreak",8
"deadly","strain",8
"declare","global",8
"demand","3m",8
"densely","populated",8
"detect","coronavirus",8
"devil","coronavirus",8
"dow","jones",8
"dr","harsh",8
"droz","discussed",8
"earth","begins",8
"economic","hit",8
"emergency","medical",8
"employee","travel",8
"en","español",8
"energy","minister",8
"entertainment","industry",8
"europe","australia",8
"evacuate","200",8
"event","amid",8
"exchange","program",8
"experts","warn",8
"extract","british",8
"factbox","major",8
"fda","chief",8
"fda","commissioner",8
"fears","mount",8
"flood","social",8
"fourth","coronavirus",8
"francis","praises",8
